,mid_x,mid_y,azim_frac
0,794300.8438073378,982011.7499775104,57.545494809177434
1,794399.1562747546,987363.3437690511,89.4291997947977
2,794316.6562757138,987352.8124580905,89.4291997947977
3,794243.0937587954,987343.562476594,89.4291997947977
4,794112.4375240449,987332.8124980964,89.4291997947977
5,793910.2812682539,987310.5937105119,89.4291997947977
6,793764.281396212,987298.781234134,89.4291997947977
7,793350.1249082536,983044.5937123448,-135.15515228681278
8,793894.3124681711,983581.8749540523,-135.15515228681278
9,794245.8437532969,983925.9999219701,-135.15515228681278
10,794412.5000800882,984086.4685970955,-135.15515228681278
11,794288.2500005048,980307.9376043007,-0.3806972526706064
12,794293.499990005,980274.1876718029,-0.3806972526706064
13,794310.124956755,980165.3438934274,-0.3806972526706064
14,794326.0312569626,981796.8125793003,135.96575999837276
15,794233.8437772952,981883.9062371366,135.96575999837276
16,794093.2187304627,982031.187438637,135.96575999837276
17,793946.750027338,982188.0937849283,135.96575999837276
18,794503.1562307961,987211.937411759,155.32221060091584
19,794461.0936508793,987307.9375478439,155.32221060091584
20,794384.8436393365,987472.2500473037,155.32221060091584
21,794197.2500184625,987860.3125913851,155.32221060091584
22,793956.6563395467,988361.5625731349,155.32221060091584
23,793819.8124531284,988668.9999503866,155.32221060091584
24,793698.2187002525,988932.999914512,155.32221060091584
25,793582.5000996701,989179.4999136366,155.32221060091584
26,793541.3750178795,989271.6248934269,155.32221060091584
27,793506.0937564205,989320.0311286338,155.32221060091584
28,794651.156098837,980263.406197302,60.16712692529274
29,794546.5624760035,980200.3749913462,60.16712692529274
30,794394.4687841292,980114.218831636,60.16712692529274
31,794294.7499875035,980053.4687890932,60.16712692529274
32,794235.1874425858,980016.9686980508,60.16712692529274
33,794156.1249366719,982220.7812195532,-121.9462558708018
34,794461.6249818373,982406.1875088438,-121.9462558708018
35,792778.124903962,979560.2812912203,-116.25689891752121
36,793245.1249542125,979905.6562566347,-116.25689891752121
37,793647.4999696705,980203.4999850914,-116.25689891752121
38,793800.9686587956,980283.999988135,-116.25689891752121
39,794188.8125353381,980441.4688333012,-116.25689891752121
40,794500.0625690036,980561.000090301,-116.25689891752121
41,794589.3125545457,980598.5000153035,-116.25689891752121
42,794468.7499675881,967849.5937546343,134.51169053538055
43,794408.0000890885,967900.343653135,134.51169053538055
44,794307.3751262967,968015.593750719,134.51169053538055
45,794210.031160878,977634.1562064663,-38.603551742364466
46,793282.3437117953,974451.0000071786,-148.0411527922842
47,793878.2500002943,975433.8125100508,-148.0411527922842
48,794195.7500214614,975931.093831759,-148.0411527922842
49,794483.8124374617,962586.2501146756,40.07366430674391
50,794388.3749642968,962476.000007093,40.07366430674391
51,794271.8750332557,962342.1874466352,40.07366430674391
52,794116.8750151712,962187.5625918433,40.07366430674391
53,793582.0624365043,971836.0624877177,-141.50802687203375
54,793662.9687707536,971934.0937877186,-141.50802687203375
55,793753.3437540457,972040.0937397592,-141.50802687203375
56,793877.2500022966,972201.4062452167,-141.50802687203375
57,794101.0625467971,972520.8125945926,-141.50802687203375
58,794391.3437903803,972973.0625103004,-141.50802687203375
59,794933.031191254,967661.8749699704,72.02956834574043
60,794803.7811216693,967623.1248834282,72.02956834574043
61,794735.9999252111,967610.3749089278,72.02956834574043
62,794603.5625260454,967573.906313885,72.02956834574043
63,794391.3437903784,967498.2813010924,72.02956834574043
64,794134.3749801703,967423.9999535941,72.02956834574043
65,793857.3750420455,967389.9688536786,72.02956834574043
66,793588.8750869203,967373.9688856788,72.02956834574043
67,794859.6561739612,967899.5936546363,73.88785830837413
68,794597.0312070865,967855.3437431343,73.88785830837413
69,794386.1249687951,967800.437520925,73.88785830837413
70,794218.3749762122,967750.3124571368,73.88785830837413
71,794101.1250466704,967723.3125111386,73.88785830837413
72,793896.5001278371,967720.7500162609,73.88785830837413
73,793749.6562614217,967723.9375098832,73.88785830837413
74,794168.8437432535,967227.6248542182,-49.61488395839314
75,794418.2187366281,967051.9687094688,-49.61488395839314
76,794125.999996921,965192.7811548822,-124.01608729539286
77,794434.8750353381,965392.1249163002,-124.01608729539286
78,794743.375074504,965591.6248453856,-124.01608729539286
79,794989.7500738781,965757.7811731771,-124.01608729539286
80,794323.2187625859,943934.0936854705,-19.84368243409192
81,794163.9687530044,949897.5937335081,58.01614346357516
82,792209.625056712,943761.3437028863,-125.7690492208861
83,792613.5625690464,943870.5936484262,-125.7690492208861
84,792891.0938381292,943942.0000016764,-125.7690492208861
85,793059.687497003,943992.1563974284,-125.7690492208861
86,793113.9998883773,944013.3125230931,-125.7690492208861
87,793223.5624973364,944049.749950219,-125.7690492208861
88,793474.5938194208,944118.6563084684,-125.7690492208861
89,793848.8437270876,944201.5624746755,-125.7690492208861
90,794293.218658546,944306.4999288432,-125.7690492208861
91,793657.7501132134,942408.4999518842,-90.08249911073534
92,793850.0938886292,942414.8126033023,-90.08249911073534
93,794039.062506754,942405.0001229271,-90.08249911073534
94,794309.56245788,942353.1875625104,-90.08249911073534
95,794242.8437592965,952727.8749823868,-100.02897733261396
96,794299.0624788795,952734.8751324266,-100.02897733261396
97,794485.8125975039,952765.8750704266,-100.02897733261396
98,794719.2187907957,952800.6875008047,-100.02897733261396
99,794844.4687043373,952813.0624760538,-100.02897733261396
100,794921.1250470877,952643.3436553851,86.68935424478131
101,794820.5939161293,952632.4375092201,86.68935424478131
102,794613.8438375052,952624.1875257194,86.68935424478131
103,794358.7500235457,952627.3438514285,86.68935424478131
104,794271.3125343788,931445.9998953007,-123.43805628154922
105,794397.843777379,936064.9061758444,43.33081297882095
106,794176.7500594612,935823.906165719,43.33081297882095
107,795012.0625292547,932716.0938117988,54.76630256174313
108,794796.9687993377,932539.4688369669,54.76630256174313
109,794555.7187897135,932348.5000588,54.76630256174313
110,794170.3439042959,932067.6249643825,54.76630256174313
111,793662.3439360447,931725.4999924675,54.76630256174313
112,793245.9687845446,931471.4688404277,54.76630256174313
