id_arr,coord_x,coord_y,length,angle,group,neighbor_1_x,neighbor_2_x,neighbor_3_x,neighbor_4_x,neighbor_5_x,neighbor_1_y,neighbor_2_y,neighbor_3_y,neighbor_4_y,neighbor_5_y,neighbor_1_distance,neighbor_2_distance,neighbor_3_distance,neighbor_4_distance,neighbor_5_distance,neighbor_1_angle,neighbor_2_angle,neighbor_3_angle,neighbor_4_angle,neighbor_5_angle
1.0,794433.1873746701,987364.8750980124,68.13107161483494,-177.42354668459373,5,794433.1873746701,794365.125174839,794488.9999270886,794268.1873765886,794517.3125345036,987364.8750980124,987361.81244009,987250.9999976754,987343.8124760912,987172.8748258428,0.0,68.13107161483494,126.81711037643628,166.33891128981722,209.62143743000888,114.23884162145825,-169.48079831581921,116.11043385072439,-179.4291997945319,109.92054563887022
1.0,794365.125174839,987361.81244009,98.59480429315768,-169.48079831581921,5,794433.1873746701,794433.1873746701,794268.1873765886,794218.0001410022,794488.9999270886,987364.8750980124,987364.8750980124,987343.8124760912,987343.3124770968,987250.9999976754,68.13107161483494,68.13107161483494,98.59480429315768,148.28359387414625,166.20575091968513,114.23884162145825,-177.42354668459373,-179.4291997945319,-174.31965432057515,116.11043385072439
1.0,794268.1873765886,987343.8124760912,50.189726187674296,-179.4291997945319,5,794218.0001410022,794365.125174839,794433.1873746701,794433.1873746701,794488.9999270886,987343.3124770968,987361.81244009,987364.8750980124,987364.8750980124,987250.9999976754,50.189726187674296,98.59480429315768,166.33891128981722,166.33891128981722,239.5252358479396,-174.31965432057515,-169.48079831581921,-177.42354668459373,114.23884162145825,116.11043385072439
1.0,794218.0001410022,987343.3124770968,212.16706302246874,-174.31965432057515,5,794268.1873765886,794365.125174839,794006.8749070875,794003.6249135882,794433.1873746701,987343.8124760912,987361.81244009,987322.3125190958,987334.687494345,987364.8750980124,50.189726187674296,148.28359387414625,212.16706302246874,214.54866221047283,216.26486574189218,-179.4291997945319,-169.48079831581921,-173.0826415214396,0.0,114.23884162145825
1.0,794006.8749070875,987322.3125190958,194.60381843884525,-173.0826415214396,5,794003.6249135882,793813.6876294203,794218.0001410022,794268.1873765886,794365.125174839,987334.687494345,987298.874901928,987343.3124770968,987343.8124760912,987361.81244009,12.794626612900364,194.60381843884525,212.16706302246874,262.1954516530347,360.42127864844076,0.0,0.0,-174.31965432057515,-179.4291997945319,-169.48079831581921
1.0,793813.6876294203,987298.874901928,0.0,0.0,8,794003.6249135882,794006.8749070875,794218.0001410022,794268.1873765886,794365.125174839,987334.687494345,987322.3125190958,987343.3124770968,987343.8124760912,987361.81244009,193.28402337670633,194.60381843884525,406.7472250778956,456.71589171792186,555.0175674763243,0.0,-173.0826415214396,-174.31965432057515,-179.4291997945319,-169.48079831581921
2.0,793047.6248570867,982750.3124767616,844.0562222324296,44.21097781042758,1,792988.8749745861,793109.3123977557,793199.8125448376,792798.6250270046,792952.3750475869,982422.8748114258,982310.375036426,982208.374912344,982185.8122934252,983444.875064008,332.6664596475247,444.24126787462967,562.900893612589,616.9776109128798,701.0632737579313,-43.04832448218102,-48.418789869152775,0.0,-149.0461008849468,0.0
2.0,793652.6249594204,983338.874947928,685.4541702040834,45.155152286805915,2,794135.9999769218,792952.3750475869,792860.6249030046,793047.6248570867,794480.8749433383,983824.8749601766,983444.875064008,983548.87485601,982750.3124767616,983146.6873401776,685.4541702040834,708.2273389469543,819.3680801428951,844.0562222324296,850.2553219079927,42.63345428266307,0.0,-48.58078833462517,44.21097781042758,0.0
2.0,794135.9999769218,983824.8749601766,298.6095317036355,42.63345428266307,1,794355.6875296719,793652.6249594204,794480.8749433383,794348.812543422,794344.1248887554,984027.1248837636,983338.874947928,983146.6873401776,982672.6249680966,982612.6250880955,298.6095317036355,685.4541702040834,760.8397928478536,1171.7376979123012,1229.986069549718,0.0,45.155152286805915,0.0,74.4334390520781,85.5326852405243
2.0,794355.6875296719,984027.1248837636,0.0,0.0,8,794135.9999769218,794480.8749433383,793652.6249594204,794348.812543422,794344.1248887554,983824.8749601766,983146.6873401776,983338.874947928,982672.6249680966,982612.6250880955,298.6095317036355,889.2930656967106,983.8622626498016,1354.5173631141952,1414.5470535156999,42.63345428266307,0.0,45.155152286805915,74.4334390520781,85.5326852405243
